xc xc_err yc yc_err mag mag_err re re_err nsersic nsrsic_err BA BA_err PA PA_err sky sky_err error chi2nu prefix success_flag
50.5133 0.0344 33.7262 0.095 7.3443 2.8046 261.7019 1104.3918 7.8582 6.4892 0.5899 0.0787 20.7065 7.4477 22.0491 14.397 0.0 1.4351 VFID3231-IC3215 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID3237-NGC4565 0
57.3123 0.2344 59.7576 0.1625 8.6051 0.039 9.9429 0.5365 0.7714 0.0575 0.5024 0.0162 54.6889 2.2895 2.4345 4.2124 0.0 1.3184 VFID3249-NGC4562 1
66.119 0.0124 57.1584 0.0212 6.2459 0.0092 8.6101 0.1111 1.3966 0.0152 0.4553 0.0029 29.1977 0.332 3.5002 6.1611 0.0 3.5908 VFID3256-NGC4747 1
19.8285 0.2197 20.4686 0.3947 11.0179 0.096 3.7514 0.4375 0.3536 0.1245 0.5868 0.0702 -22.6126 8.5259 32.7914 11.0911 0.0 1.1423 VFID3259-KUG1247+260 1
48.382 0.1137 51.5929 0.3392 8.5293 0.0435 13.0261 0.7741 0.8511 0.0642 0.3295 0.011 15.5176 1.3378 5.3184 5.5361 0.0 1.2938 VFID3474-NGC4455 1
121.749 0.2034 121.82 0.1773 7.2636 0.0306 26.2919 1.082 1.2438 0.0428 0.2298 0.0047 -48.6854 0.5177 56.1889 2.2149 0.0 1.4559 VFID3651-NGC4204 1
59.8038 0.0787 61.3256 0.1393 7.1889 0.0092 12.7782 0.1722 0.467 0.0142 0.5495 0.0067 -13.1044 0.8292 -4.4187 4.0203 0.0 1.3303 VFID3705-NGC4635 1
47.4557 0.0178 47.2849 0.0233 8.231 0.0136 2.9094 0.0521 0.8974 0.0188 0.9785 0.0112 56.1015 25.3723 57.7722 5.0597 0.0 1.3571 VFID3750-NGC4336 1
39.7737 0.0713 39.2447 0.0561 7.484 0.01 7.4739 0.1158 0.5615 0.0156 0.7601 0.0096 -55.4584 2.0761 -7.8267 6.7199 0.0 1.5114 VFID3760-NGC4561 1
93.1468 0.1979 92.7597 0.4813 9.4811 0.0646 9.6906 0.4926 0.2633 0.0458 0.34 0.02 20.1804 2.0311 -9.7123 3.0358 0.0 1.3916 VFID3770-IC3881 1
97.3937 0.0037 97.011 0.007 5.8025 0.0018 4.2877 0.0112 0.8438 0.0047 0.5733 0.0012 -15.41 0.1484 -2.9905 2.6912 0.0 1.5027 VFID3823-NGC4064 1
188.2939 0.0054 187.823 0.0045 5.623 0.003 3.999 0.0211 1.9327 0.0109 0.8065 0.0024 67.7478 0.5441 23.8256 1.4008 0.0 1.6174 VFID3829-NGC4293 1
47.5033 0.0521 46.938 0.0928 7.5811 0.0119 8.7495 0.1137 0.3896 0.0153 0.3739 0.0048 -29.2255 0.5339 53.6822 7.0577 0.0 2.027 VFID3838-UGC06670 1
32.467 0.0864 33.2298 0.0604 9.847 0.0533 2.6907 0.1723 0.7963 0.0782 0.8957 0.0424 53.074 19.3765 -19.4962 7.5968 0.0 1.2589 VFID3848-IC3473 1
105.3979 0.0135 105.2419 0.0182 5.0799 0.0547 55.6967 3.9723 4.026 0.0971 0.7696 0.0083 -36.8268 1.3835 -114.6161 4.3276 0.0 1.5609 VFID3854-NGC4394 1
82.022 0.4355 82.6812 0.1921 8.1496 0.193 28.8689 6.3218 1.8173 0.2545 0.4335 0.03 -83.2896 3.2145 -18.6367 2.9956 0.0 1.3261 VFID3856-NGC4539 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID3860-MESSIER085 0
53.1398 0.1932 56.702 1.4536 9.885 3.8839 230.775 1747.0571 7.8739 20.8951 0.013 0.005 -7.416 0.2792 -33.8362 3.898 1.0 1.3225 VFID3896-IC3530 1
32.118 0.0619 35.6784 2.2536 11.6588 6.3802 40.3322 535.5413 9.4143 73.0075 0.0255 0.0226 3.3078 1.4654 37.4277 8.0842 1.0 1.2981 VFID3913-UGC07346 1
30.5886 0.1709 30.3951 0.2178 10.9547 0.139 2.8472 0.4889 0.7656 0.1655 0.7875 0.0921 -14.0569 22.3262 4.0016 7.8672 0.0 1.2672 VFID3920-CGCG098-132 1
18.6147 0.1196 19.8423 0.0674 9.2715 0.0253 4.2261 0.1322 0.3681 0.0328 0.5575 0.017 78.145 2.1197 15.9882 13.1728 0.0 1.2886 VFID3924-KUG1218+179 1
41.1291 0.0236 41.9186 0.0226 7.4723 0.007 4.2787 0.0348 0.3903 0.0072 0.9157 0.0077 48.6061 3.7624 46.9444 6.3452 0.0 1.3679 VFID3932-NGC4344 1
163.0824 0.0121 164.5192 0.0147 5.4391 0.0128 21.1141 0.3839 2.4019 0.0245 0.5653 0.004 -1.2248 0.4429 2.6594 1.9949 0.0 2.2068 VFID3982-NGC4450 1
51.872 0.0765 51.6863 0.0518 8.9767 0.0589 5.1979 0.426 1.439 0.0932 0.9092 0.0375 -81.092 18.4692 19.9621 4.6357 0.0 1.2388 VFID4005-NGC4489 1
85.4761 0.0174 85.4384 0.0183 7.739 0.0386 8.4477 0.4533 1.9718 0.0701 0.8629 0.0194 56.5295 6.3273 6.1043 3.0799 0.0 1.32 VFID4013-NGC4340 1
83.5561 0.007 84.55 0.0116 7.1262 0.0114 5.2154 0.082 1.6517 0.0246 0.6108 0.0042 29.5485 0.6018 47.2755 2.9322 0.0 1.3378 VFID4017-NGC4350 1
32.032 0.1148 32.1658 0.1038 8.9939 0.0227 5.366 0.1817 0.4601 0.0355 0.5911 0.018 48.4 2.4335 6.4083 8.0874 0.0 1.4165 VFID4019-NGC4502 1
61.4141 0.4059 62.1243 0.3692 9.578 0.0519 10.7071 0.775 0.5707 0.0798 0.182 0.0105 -47.4088 0.9465 6.3154 3.7463 0.0 1.2497 VFID4035-UGC06594 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4049-NGC4383 0
44.0924 0.012 44.4087 0.0104 7.8519 0.0091 2.6771 0.0331 1.0753 0.016 0.8765 0.0069 -25.5165 2.6566 -17.5464 5.2076 0.0 1.2758 VFID4058-IC0796 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4060-NGC4651 0
40.6041 0.0734 41.1385 0.0914 9.492 0.07 3.988 0.3739 1.3317 0.1263 0.8305 0.0437 17.1327 11.2533 13.211 5.9469 0.0 1.2499 VFID4074-NGC4515 1
46.6138 0.0096 45.7142 0.0131 6.2972 0.0028 4.4953 0.0179 0.5511 0.0043 0.74 0.0024 12.7094 0.483 83.7421 6.6402 0.0 1.9081 VFID4082-NGC4405 1
20.1125 0.0215 19.4792 0.0172 7.3585 0.0055 3.5018 0.0285 0.555 0.0083 0.7867 0.005 -85.5783 1.2853 90.9699 16.2229 0.0 1.9302 VFID4095-KUG1201+163 1
21.8284 0.0367 22.0541 0.0471 8.8393 0.0251 3.0614 0.1019 0.8425 0.0321 0.7945 0.0165 21.4453 4.8178 -7.5468 14.0341 0.0 1.4635 VFID4105-UGC06655 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4113-NGC4322 0
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4118-NGC4758 0
37.4867 0.4577 39.7208 0.5015 10.7333 0.2028 5.4425 1.4317 0.8477 0.3078 0.6954 0.1056 -47.2323 22.0802 -55.9918 6.6509 0.0 1.2241 VFID4133-IC0783 1
33.5479 0.0271 31.0092 0.1042 10.5062 0.0379 16.5685 0.005 0.0196 0.0052 0.2795 0.0215 4.9656 1.3575 57.7238 7.2441 1.0 1.2437 VFID4136-VCC1334 1
56.4456 0.0369 55.6494 0.0417 8.1736 0.037 6.424 0.3209 1.4672 0.0643 0.8321 0.0205 81.9253 5.61 -21.6349 4.6211 0.0 1.2847 VFID4142-NGC4379 1
77.437 0.0514 78.5252 0.0498 6.1984 0.5512 91.6796 66.3984 4.6572 0.9692 0.6842 0.0424 -47.3302 5.7563 -76.6179 11.0607 0.0 3.6991 VFID4156-NGC4421 1
45.464 0.025 45.5513 0.043 7.574 0.0077 6.0348 0.0677 0.5235 0.0111 0.5315 0.0051 -28.5592 0.6102 66.0603 5.4887 0.0 1.3383 VFID4167-IC0800 1
66.3455 0.0188 66.4395 0.0113 5.2963 0.0018 9.4043 0.0247 0.5262 0.0029 0.603 0.0014 -73.0079 0.1878 -29.0113 4.576 0.0 1.9643 VFID4171-NGC4237 1
