xc xc_err yc yc_err mag mag_err re re_err nsersic nsrsic_err BA BA_err PA PA_err sky sky_err error chi2nu prefix success_flag
48.6155 0.0166 49.8362 0.022 6.8094 0.004 7.5134 0.0437 0.6741 0.0066 0.493 0.002 -37.2218 0.2601 -97.4832 3.8575 0.0 1.8233 VFID0005-NGC3752 1
23.5703 0.0677 22.043 0.0364 8.578 0.0119 6.0427 0.1002 0.5577 0.0197 0.4857 0.0066 61.9838 0.7809 43.5766 8.0474 0.0 1.5131 VFID0100-UGC06552 1
68.4272 0.0216 68.57 0.0545 7.7028 0.0076 10.18 0.1071 0.7599 0.012 0.3905 0.0026 18.1183 0.3095 1.1337 1.7434 0.0 1.8132 VFID0109-NGC6395 1
22.143 0.0123 22.8146 0.0115 7.3204 0.0045 4.0137 0.0272 0.6575 0.0069 0.7983 0.0039 -46.9802 1.0358 108.8427 9.9244 0.0 1.5934 VFID0141-UGC06711 1
44.779 0.137 44.0819 0.234 8.3498 0.0194 10.1121 0.2711 0.4351 0.0263 0.5895 0.0146 8.5343 1.9355 28.2762 4.6903 0.0 1.605 VFID0153-NGC4034 1
38.4277 0.0146 38.7741 0.0259 7.2432 0.0057 5.7991 0.0462 0.7238 0.0081 0.5602 0.0029 4.7345 0.4325 16.4883 5.5771 0.0 1.3672 VFID0187-NGC3622 1
67.5992 0.0045 67.6814 0.0037 5.7154 0.0014 3.6252 0.0062 0.6939 0.0025 0.7585 0.001 -81.1259 0.2293 32.0664 3.0495 0.0 1.6024 VFID0194-NGC3682 1
31.6436 0.1136 31.1468 0.1195 9.0203 0.0744 8.6005 0.6042 1.161 0.0731 0.7342 0.0266 -47.5617 5.5841 29.388 7.1386 0.0 1.481 VFID0198-UGC08604 1
55.8729 0.0473 56.1551 0.0658 8.7357 0.0422 5.5145 0.3022 1.303 0.0627 0.7485 0.0214 24.1074 4.4212 48.7422 4.0993 0.0 2.0397 VFID0200-NGC4221 1
28.6701 0.4047 28.8171 0.2245 8.7943 4.2243 86.8227 443.2968 4.5541 6.1158 0.4661 0.1328 79.986 10.4442 -44.184 23.8089 0.0 1.2074 VFID0229-UGC03748 1
59.573 0.1407 60.0588 0.3865 9.2761 0.0622 10.0576 0.8473 0.8139 0.0907 0.3583 0.0174 15.822 2.0789 11.1054 3.7978 0.0 1.5142 VFID0259-UGC07941 1
33.5282 0.0569 14.8581 0.0797 10.4409 0.0636 2.3699 0.1915 0.8862 0.105 0.7417 0.0379 24.5433 8.1848 19.214 5.6468 0.0 1.2468 VFID0260-UGC07730 1
39.2477 0.0356 39.9758 0.0622 8.4429 0.0115 5.6293 0.0937 0.5269 0.0187 0.5111 0.0072 29.8124 0.8448 26.4335 4.6822 0.0 1.2122 VFID0262-UGC05727 1
20.9516 0.0417 20.7798 0.0467 9.8761 0.0398 2.5797 0.1362 0.9601 0.0581 0.8041 0.0258 -15.3156 7.2026 0.4272 9.2121 0.0 1.2216 VFID0266-UGCA317 1
30.3992 0.1019 34.4797 0.3238 10.4465 0.0484 7.7921 0.2946 0.1826 0.0306 0.3201 0.0142 -8.6123 1.1977 -3.3943 3.8543 0.0 1.111 VFID0291-CGCG319-030 1
36.4046 0.007 36.7215 0.0102 7.0481 0.0034 3.7349 0.0173 0.628 0.0058 0.587 0.0022 -33.1805 0.2979 37.9633 5.8401 0.0 1.6911 VFID0298-NGC4481 1
49.7728 0.006 50.0284 0.0057 5.9324 0.0019 4.902 0.0128 0.7447 0.0028 0.4439 0.0009 -46.8124 0.0994 39.8547 5.0605 0.0 2.8218 VFID0304-UGC07179 1
36.6566 0.01 37.0869 0.0075 6.5243 0.0041 3.1379 0.0183 1.2379 0.0128 0.6883 0.0031 70.7356 0.4538 76.296 7.0239 0.0 2.4706 VFID0321-IC0836 1
26.6263 0.2156 27.9477 0.2901 9.8386 0.0636 5.5866 0.4853 0.6672 0.0826 0.7563 0.0459 -7.754 10.2167 -37.1273 8.0015 0.0 1.1797 VFID0344-UGC07837 1
124.3961 0.0099 120.2633 0.0183 4.9084 0.0098 28.0256 0.3961 2.5642 0.023 0.4614 0.0021 15.1789 0.2205 -84.4489 2.8529 0.0 2.6934 VFID0349-NGC3359 1
34.0371 0.2532 34.5266 0.104 12.0534 0.184 2.7054 0.641 0.9161 0.3601 0.4358 0.0755 -82.2378 7.3511 21.0155 4.137 0.0 1.7528 VFID0356-FGC2028 1
35.0432 0.2656 28.5282 0.0995 12.0081 0.2034 2.8644 0.7675 1.019 0.4236 0.4194 0.0793 -82.8771 7.2559 20.1154 5.5422 0.0 1.8795 VFID0357-FGC2028 1
23.2447 0.0145 23.2809 0.0185 8.3531 0.0071 3.7451 0.0365 0.79 0.0104 0.7818 0.0051 14.082 1.2484 11.923 5.1687 0.0 1.1628 VFID0358-IC1235 1
25.7453 0.0742 26.1634 0.061 8.6139 0.0165 6.1153 0.1309 0.6339 0.022 0.817 0.0128 60.9777 3.6139 10.7311 6.4023 0.0 1.14 VFID0360-UGC08436 1
22.4218 0.6216 19.4204 0.9831 6.4552 10.7907 429.4688 3983.8711 3.4135 6.2874 0.2797 0.0665 34.8911 5.5374 37.4445 87.0512 0.0 1.1396 VFID0366-WISEAJ120145.26+625807.5 1
28.5811 0.0309 29.1372 0.0606 9.0161 0.02 3.9202 0.1133 0.7657 0.0302 0.5174 0.0092 1.8078 1.3123 40.1638 7.2275 0.0 1.1933 VFID0374-2MFGC06849 1
41.614 0.0042 42.0526 0.0076 6.5899 0.0019 4.5847 0.0119 0.6887 0.0032 0.5336 0.001 -11.7354 0.1328 55.2508 3.4864 0.0 2.1757 VFID0377-IC1210 1
47.7966 0.0245 48.4442 0.0373 6.8925 0.0037 9.4978 0.0533 0.4989 0.006 0.6485 0.0032 -28.9632 0.4791 -2.8625 3.1663 0.0 1.5117 VFID0378-NGC5205 1
12.6789 0.0095 13.6145 0.0131 8.2377 0.0125 2.2066 0.0345 1.0948 0.0275 0.9075 0.0106 2.982 4.7643 34.6084 24.3606 0.0 1.8118 VFID0382-MRK0166 1
175.3109 0.0111 174.8707 0.0189 4.8494 0.0011 17.237 0.0234 0.3845 0.0013 0.4705 0.0006 30.7007 0.0672 -5.0654 0.9446 0.0 3.4527 VFID0393-NGC6015 1
62.2769 0.0487 61.5591 0.1572 9.1807 0.0396 7.8395 0.4215 0.9845 0.0619 0.3007 0.009 -12.6754 0.9771 6.7601 2.9498 0.0 1.1776 VFID0395-UGC07153 1
25.2882 0.09 26.8223 0.0705 8.9191 0.0178 4.8265 0.1301 0.4752 0.0282 0.7693 0.0186 56.8166 4.0043 -3.7415 8.1666 0.0 1.193 VFID0405-CGCG291-043 1
36.4114 0.0683 35.6485 0.1475 10.0286 0.0425 5.1792 0.3053 0.7821 0.0672 0.456 0.0158 23.6434 2.1537 -0.6218 3.9418 0.0 1.0988 VFID0409-UGC08514 1
26.2094 0.1315 30.7377 0.5745 10.8338 0.0932 7.6174 0.505 0.1571 0.0603 0.2149 0.0171 7.4341 1.4539 75.6241 7.3933 0.0 1.3437 VFID0412-MCG+10-17-093 1
9.5951 0.011 10.4598 0.0097 8.529 0.0143 2.7643 0.0283 0.8237 0.0115 0.9736 0.0057 -88.8112 11.8498 76.1774 20.0686 0.0 1.294 VFID0422-ARK499 1
