xc xc_err yc yc_err mag mag_err re re_err nsersic nsrsic_err BA BA_err PA PA_err sky sky_err error chi2nu prefix success_flag
23.2447 0.0145 23.2809 0.0185 8.3531 0.0071 3.7451 0.0365 0.79 0.0104 0.7818 0.0051 14.082 1.2484 11.923 5.1687 0.0 1.1628 VFID0358-IC1235 1
41.614 0.0042 42.0526 0.0076 6.5899 0.0019 4.5847 0.0119 0.6887 0.0032 0.5336 0.001 -11.7354 0.1328 55.2508 3.4864 0.0 2.1757 VFID0377-IC1210 1
47.7966 0.0245 48.4442 0.0373 6.8925 0.0037 9.4978 0.0533 0.4989 0.006 0.6485 0.0032 -28.9632 0.4791 -2.8625 3.1663 0.0 1.5117 VFID0378-NGC5205 1
47.5616 0.0406 49.1812 0.1005 9.1094 0.0401 6.5347 0.3519 1.1752 0.0622 0.4412 0.0129 -0.1495 1.4654 -31.7256 3.8242 0.0 1.3516 VFID0392-UGC07009 1
78.5562 0.0066 77.9667 0.006 4.1016 0.0013 5.3697 0.0127 1.0473 0.004 0.927 0.0015 -86.1926 0.9466 81.6025 7.1522 0.0 10.8003 VFID0402-NGC4041 1
40.7326 0.0266 40.6105 0.018 8.7856 0.0228 6.4986 0.2024 1.6644 0.0418 0.689 0.0103 -82.0421 1.5473 -17.0042 2.4959 0.0 1.4352 VFID0413-UGC10796 1
146.4215 0.014 146.0497 0.0092 6.6346 0.0068 7.4938 0.0701 1.4382 0.0119 0.5718 0.0027 79.8821 0.3446 -8.1535 1.3411 0.0 1.5252 VFID0415-NGC4036 1
9.5951 0.011 10.4598 0.0097 8.529 0.0143 2.7643 0.0283 0.8237 0.0115 0.9736 0.0057 -88.8112 11.8498 76.1774 20.0686 0.0 1.294 VFID0422-ARK499 1
32.3648 0.0148 32.1663 0.017 8.8947 0.0136 3.6187 0.0673 1.3062 0.0244 0.8882 0.0088 -30.4759 3.6676 -3.0869 2.8325 0.0 1.416 VFID0423-NGC6359 1
36.1693 0.0789 35.9475 0.2112 8.9052 0.0441 11.2079 0.6606 1.0701 0.0639 0.3524 0.0104 0.4707 1.26 -29.4137 5.4884 0.0 1.3453 VFID0428-UGC08822 1
30.0764 38.6346 17.36 16.2203 5.5894 20.2783 3.7762 22.6668 1.8593 5.2076 0.1752 0.1718 -66.4302 3.6394 50.3783 64.4165 1.0 1.201 VFID0457-VIIZw591 1
130.3534 0.028 130.5333 0.0162 7.9596 0.0145 6.4134 0.1267 1.2348 0.0234 0.4986 0.0052 58.8824 0.6371 19.106 1.2892 0.0 1.4212 VFID0472-NGC5308 1
42.4493 0.1621 41.8715 0.1442 8.8603 0.0221 7.0074 0.2361 0.5801 0.0315 0.8691 0.0236 79.0853 8.5109 -7.9757 3.7517 0.0 1.106 VFID0478-UGC08909 1
40.9084 0.2392 40.6669 0.278 9.4056 0.1592 3.8604 0.8319 0.9055 0.2086 0.7052 0.0857 -38.5398 17.7501 247.1237 21.2887 0.0 95.1573 VFID0481-NGC6307 1
40.1559 0.0062 40.093 0.0074 6.1983 0.0029 3.2746 0.0127 1.1399 0.0094 0.7509 0.0023 -15.2437 0.4089 101.0013 5.1322 0.0 5.1101 VFID0483-NGC6306 1
43.562 0.0331 43.7667 0.0501 9.3651 0.0396 2.9449 0.1557 1.1926 0.075 0.8615 0.0262 -19.2273 9.0816 12.3977 4.6397 0.0 1.2676 VFID0520-NGC3796 1
25.8777 0.0919 27.0187 0.0768 9.7129 0.0179 4.4901 0.1124 0.4534 0.0238 0.8272 0.0191 77.6136 5.1244 8.3972 3.8461 0.0 1.172 VFID0542-UGC10247 1
27.377 0.0161 26.9626 0.0174 6.6715 0.0028 5.2555 0.0225 0.5387 0.0042 0.9147 0.0034 -0.1048 1.8333 44.9234 8.0544 0.0 2.3675 VFID0569-NGC5989 1
25.8694 0.1143 27.7267 0.0963 8.9261 0.0207 5.835 0.17 0.5945 0.0308 0.8545 0.0189 75.892 6.6301 3.5375 6.3054 0.0 1.211 VFID0583-NGC5976A 1
17.3765 0.0091 17.6968 0.0102 5.8752 0.0047 2.7037 0.0166 1.2901 0.0151 0.9109 0.0051 4.8998 2.3583 105.144 41.269 0.0 8.1623 VFID0631-IC0691 1
24.5453 0.0149 24.6298 0.011 8.5601 0.0112 3.4349 0.0504 0.9897 0.0178 0.5458 0.0045 72.6171 0.6518 67.9274 6.3897 0.0 1.324 VFID0638-WISEAJ150535.77+590537.2 1
72.1567 0.0091 72.4692 0.0089 7.2934 0.0093 4.6039 0.059 1.3651 0.0166 0.7997 0.0058 -42.2335 1.3642 23.7352 2.7949 0.0 1.254 VFID0686-NGC3610 1
28.5 0.0469 28.8108 0.048 9.5701 0.0577 3.3065 0.2502 1.2736 0.1027 0.9106 0.0384 -81.448 20.238 20.1621 7.8336 0.0 1.2446 VFID0690-NGC3795B 1
20.8976 0.0053 21.1625 0.0041 6.1804 0.0019 3.3314 0.0091 0.6619 0.0039 0.7619 0.0016 -53.3764 0.3631 208.491 12.3482 0.0 2.8084 VFID0697-NGC5372 1
23.7009 0.3069 27.3743 0.3395 8.1085 1.9002 128.5497 279.051 3.7836 2.3589 0.1755 0.0183 40.0482 2.0576 -30.1389 17.3787 0.0 1.3426 VFID0698-UGC08743 1
24.8962 0.0077 25.0448 0.0092 8.1791 0.0062 2.7325 0.0234 0.9405 0.0091 0.8412 0.0041 74.2432 1.4698 38.619 5.2589 0.0 1.7866 VFID0720-MRK0847 1
28.3016 0.4501 28.235 1.1012 10.6523 0.1387 8.1482 1.5934 0.5665 0.2129 0.4143 0.0652 -18.1311 7.1746 27.6541 7.1023 0.0 1.3149 VFID0755-UGC06912 1
30.2048 0.2026 31.9583 0.1759 9.272 0.0421 5.5407 0.303 0.4599 0.0478 0.83 0.0413 -55.7798 11.2839 32.0868 8.4867 0.0 1.7002 VFID0766-CGCG291-076 1
115.5029 0.0473 116.0951 0.0227 6.8346 0.0097 15.9039 0.2077 1.2639 0.0137 0.304 0.002 65.8102 0.2086 9.1308 1.5332 0.0 1.9292 VFID0772-NGC5987 1
50.8024 0.0853 51.5378 0.0748 7.9831 0.015 8.6702 0.1792 0.8227 0.0211 0.8533 0.0119 -89.8837 3.9798 12.3778 2.9751 0.0 1.1911 VFID0776-UGC09837 1
43.0877 0.03 43.5237 0.027 8.8673 0.0273 3.9165 0.1463 1.1792 0.0468 0.6809 0.0148 -43.0373 2.3143 -10.5953 4.5602 0.0 1.1925 VFID0788-NGC3838 1
88.865 0.0118 87.0806 0.0192 4.2589 0.0016 10.0596 0.0218 0.4652 0.0026 0.602 0.0012 0.7325 0.1624 45.6598 6.5488 0.0 19.1068 VFID0790-NGC5678 1
73.2684 0.7134 72.3214 0.8429 7.1675 1.134 122.3729 127.6818 2.3059 0.9104 0.4092 0.0404 39.816 3.9379 -35.4489 9.6597 0.0 1.1845 VFID0805-UGC08441 1
34.4019 0.0133 34.2286 0.0131 6.2927 0.0037 5.9169 0.0307 0.7487 0.0053 0.3781 0.0014 -46.2277 0.1527 116.2574 10.5584 0.0 5.5014 VFID0816-NGC5526 1
19.2843 0.0715 19.8966 0.1458 10.0752 0.0547 4.4185 0.3217 0.9053 0.0869 0.4996 0.0209 -3.612 2.9171 5.2582 9.1659 0.0 1.3405 VFID0945-KUG1420+564 1
60.5114 0.125 61.3869 0.1002 7.5418 0.0217 11.86 0.3654 0.8718 0.0316 0.5217 0.0091 -52.2771 1.3123 5.7789 4.7311 0.0 1.9774 VFID0949-NGC3794 1
50.9591 0.2447 51.9246 0.1068 8.3776 0.0362 12.8551 0.6231 0.9013 0.0532 0.4328 0.0111 -66.1651 1.5116 19.5975 4.4962 0.0 1.322 VFID0966-NGC3850 1
51.5616 0.0522 50.7356 0.0628 6.7823 0.0059 13.628 0.1106 0.558 0.0094 0.345 0.0023 40.0749 0.2301 -2.6523 4.4034 0.0 1.946 VFID0973-NGC5443 1
58.4586 0.0228 58.7024 0.0351 8.5107 0.0288 5.6093 0.2278 1.5484 0.0553 0.6528 0.0133 -20.0004 1.8873 9.1354 3.0593 0.0 1.3629 VFID0980-NGC5475 1
121.5271 0.0443 120.1911 0.0093 2.9414 0.0032 37.5975 0.1701 1.3235 0.0067 0.1914 0.0005 79.3214 0.0405 -193.3689 8.6611 0.0 31.4578 VFID0987-MESSIER108 1
49.614 0.1745 48.0681 0.0615 9.1701 0.025 6.6299 0.2263 0.5232 0.0403 0.3511 0.0102 87.8432 1.0301 13.8798 4.1514 0.0 1.2191 VFID0991-UGC06919 1
31.9136 0.0707 31.9058 0.1369 9.8791 0.035 4.5662 0.2172 0.6474 0.051 0.5142 0.0167 1.4358 2.2877 -0.9109 5.1569 0.0 1.1534 VFID1005-SBS1409+557 1
